career_objective,skills,degree_names,positions,locations,responsibilities,role_positions,certification_skills
Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development.,"['Big Data', 'Hadoop', 'Hive', 'Python', 'Mapreduce', 'Spark', 'Java', 'Machine Learning', 'Cloud', 'Hdfs', 'YARN', 'Core Java', 'Data Science', 'C++', 'Data Structures', 'DBMS', 'RDBMS', 'Informatica', 'Talend', 'Amazon Redshift', 'Microsoft Azure']",['B.Tech'],['Big Data Analyst'],"[None, None, None, None, None, None, None]","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,
Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaningful data dashboards and evaluation models.,"['Data Analysis', 'Data Analytics', 'Business Analysis', 'R', 'SAS', 'PowerBi', 'Tableau', 'Data Visualization', 'Business Analytics', 'Machine Learning']","['B.Sc (Maths)', 'M.Sc (Science) (Statistics)']",['Business Analyst'],"['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,
,"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']",['B.Tech'],['Software Developer (Machine Learning Engineer)'],"['Hannover, Germany']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,
"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.","['accounts payables', 'accounts receivables', 'Accounts Payable', 'Accounts Receivable', 'administrative functions', 'trial balance', 'banking', 'budget', 'bi', 'closing', 'Computer Applications', 'Credit', 'clients', 'Customer Service', 'data entry', 'delivery', 'driving', 'email', 'insurance', 'inventory', 'ledger', 'Access', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'mortgage loan', 'Enterprise', 'policies', 'QuickBooks', 'Sales', 'sales reports', 'telecommunications', 'phone', 'workflow', 'written']",['Computer Applications Specialist Certificate Program'],"['Accountant', 'Accounts Receivable Clerk', 'Mortgage Underwriter', 'Commercial Auto Underwriter', 'Personal Auto Underwriter', 'Claims Examiner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'N/A']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,
"Professional accountant with an outstanding work ethic and integrity seeking to make a valuable contribution utilizing strong analytical, organizational, communication, and computer skills.","['Analytical reasoning', 'Compliance testing knowledge', 'Effective time management', 'Public and private accounting', 'accounting', 'accounting systems', 'accounts payable', 'accounts receivable', 'administrative', 'AR', 'billing', 'closing', 'client', 'clients', 'documentation', 'financial', 'financial reports', 'preparation of financial reports', 'Preparation of financial statements', 'fixed assets', 'managing', 'month-end closing', 'policies', 'maintain records', 'reporting', 'Research', 'sales', 'tax', 'taxes', 'tax returns', 'annual reports', 'year-end']",['Bachelor of Business Administration'],"['Staff Accountant', 'Senior Accountant', 'Tax Analyst', 'Staff Accountant II', 'Staff Auditor II']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","[None, None, None, None]",[None]
"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.","['Microsoft Applications', 'Network Security', 'Networking', 'PC hardware and software installation, configuration, and troubleshooting', 'Remote Desktop and Help Desk Management', 'Verbal Communication', 'Technical Support', 'Team Leadership', 'Programming Languages', 'On-call tech support', 'Windows & Mac OS', 'Wiring/Wire Spicing: Cat3, Cat5, Cat5e, Coaxial', 'Management', 'VoIP, TCP/IP, IPSec, ATM, SS7, IPX, DNS, BIND, DHCP, HSRP and LAN/WAN architecture', 'Application Development', 'Voice Over IP Telephone', 'Inventory Management']","['Bachelor Degree', 'Associate Degree']","['Engineering Systems Installer', 'IT Technician/QA Tester', 'Installation/Service Technician']","['City, State', 'City, State', 'N/A']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,[None]
,"['Machine Learning', 'Linear Regression', 'Ridge Regression', 'Lasso Regression', 'Tableau', 'Time Series Analysis']",['B.Tech'],['Intern'],"['Austin, TX', 'Austin, TX']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,
,"['Maintenance', 'Corrective Maintenance', 'Documentation', 'Industrial Machinery', 'Preventive Maintenance', 'Sensors', 'Biotechnology', 'Electrical Mechanical', 'Estimation', 'Hydraulics', 'Mechanical Technician', 'Pneumatics', 'Project Manager', 'Sop', 'Manufacturing Process', 'Apqp', 'Assembly', 'Circuit Boards', 'Dmm', 'Electrical Test', 'Esd', 'First Article Inspection', 'Inspection', 'Medical Devices', 'Oscilloscope', 'Production Process', 'Schematic', 'Soldering', 'Surface Mount', 'Test Engineer', 'Through-hole', 'Wiring', 'Calibration', 'Control Systems', 'Packaging', 'Process Control', 'Sensor', 'Temperature', 'And Humidity', 'Control System Design', 'Electrical Engineer', 'Engineer', 'Entry Level', 'Ieee', 'Mechanical/electrical Engineer', 'Proactive', 'Self Motivated', 'Testing', 'Training', 'Electrical Engineering', 'Pr', 'Public Relations']",['Bachelor of Science'],"['Engineering Technician', 'Instrument Technician', 'Project Manager Assistance']","['City, State', 'City, State', 'City, State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,[None]
"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.","['Python', 'Machine Learning', 'MySQL', 'Data Mining', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'Flask API', 'Predictive Modeling', 'AWS', 'Scikit-Learn', 'Numpy', 'Statistical Analysis', 'Multivariate Analysis', 'Decision Trees', 'Random Forest', 'Xgboost', 'NLP']",['B.Tech/B.E.'],['Associate Analyst'],"['City , State', 'City , State', 'City , State', 'N/A']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,[None]
,"['Django', 'Python', 'Relational databases', 'RestAPI', 'Github', 'Jira', 'PostgreSQL', 'Software development', 'Debugging', 'Machine learning', 'Natural language Processing', 'Artificial Intelligence', 'Data Analysis', 'Docker', 'Tornado', 'Software Developer', 'Project Management']","['BCA', 'MCA']",['Software Developer'],"['City , State', 'City , State', 'State', 'City , State']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,
